"Source:","/home/benjamin/Documents/school/ECE411/ExploSnake/es-board/es-board.kicad_sch"
"Date:","Wed 15 Nov 2023 07:13:15 PM"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DPN","MPN"
"1","5","C1, C4, C7, C11, C12","1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","1276-3091-1-ND","CL31B105KBHNFNE"
"2","2","C2, C3","24p","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","478-12061A240JAT2ACT-ND","12061A240JAT2A"
"3","2","C5, C6","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","1276-1017-1-ND","CL31B104KBCNNNC"
"4","2","C8, C10","10u 50V","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","1276-6736-1-ND","CL31A106MBHNNNE"
"5","1","C9","1u 50V","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","1276-3091-1-ND","CL31B105KBHNFNE"
"6","1","C13","22u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","1276-2728-1-ND","CL31A226MOCLNNC"
"7","1","C14","100u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","490-GRM31CR61A107MEA8LCT-ND","GRM31CR61A107MEA8L"
"8","2","D1, D4","green","Device:LED","LED_SMD:LED_1206_3216Metric","~","","160-1169-1-ND","LTST-C150GKT"
"9","1","D2","orange","Device:LED","LED_SMD:LED_1206_3216Metric","~","","160-1403-1-ND","LTST-C150KFKT"
"10","1","D3","red","Device:LED","LED_SMD:LED_1206_3216Metric","~","","160-1168-1-ND","LTST-C150EKT"
"11","1","D5","D_Schottky","Device:D_Schottky","Diode_SMD:D_1206_3216Metric","~","","478-7809-1-ND","SD1206T040S1R0"
"12","1","F1","2A","Device:Fuse","Fuse:Fuse_1812_4532Metric","~","","F3486CT-ND","1812L110/33MR"
"13","1","J1","DNP","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","",""
